ID#,train_date,Trainertype,t_rating01,t_rating02,t_rating03,t_rating04,t_rating05,t_rating06,t_rating07,t_rating08,t_rating09,t_rating10,t_rating11,t_rating12,t_rating13,t_rating14,t_rating15,t_rating16,t_rating17,t_rating18,t_rating19,t_rating20,t_rating21,t_rating22,t_rating23,t_rating24,Charac_avg,Train_comp
7120,42396,0,4,4,3,3,3,3,4,3,4,3,4,4,3,4,5,5,5,5,5,4,4,4,4,4,3.894736842,4
7120,42396,0,4,4,4,3,3,3,4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,4.052631579,4.8
7120,42396,1,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.368421053,4
7123,42424,1,4,4,4,3,3,4,5,3,3,3,5,4,4,3,5,4,5,5,5,5,3,3,5,4,4,4
7123,42424,0,4,4,3,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,4,4,5,5,5,4.631578947,4.6
7124,42341,0,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4.736842105,4.8
7124,42341,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7126, ,1,3,3,4,5,5,5,5,4,4,3,4,3,3,3,5,5,5,5,5,2,3,3,3,3,4.157894737,2.8
7126, ,0,4,3,4,5,5,5,5,4,3,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4.526315789,4.8
7126, ,1,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3.736842105,3
7127,42346,0,5,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,4,4.684210526,4.6
7127,42346,1,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,999,999,999,999,999,4.789473684, 
7128,42383,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7128,42383,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7130,42424,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7130,42424,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7131,42424,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.894736842,5
7131,42424,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4.894736842,5
7133,42426,1,4,4,4,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4.421052632,4.4
7133,42426,0,4,4,4,4,4,5,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,4,4,5,4.368421053,4.2
7135,42397,1,4,4,4,4,4,3,4,3,4,4,4,5,4,4,3,4,4,3,3,999,999,999,999,999,3.789473684, 
7135,42397,0,4,4,4,5,4,5,4,3,4,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4.315789474,4
7135,42397,0,4,4,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,5,4,4.578947368,4.2
7135,42397,1,4,4,5,4,4,3,4,4,4,4,3,4,4,5,4,4,4,3,3,4,4,4,4,4,3.894736842,4
7138,42396,1,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4.684210526,5
7138,42396,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,999,999,999,999,999,3.263157895, 
7138,42396,0,3,3,3,4,3,4,4,4,4,4,4,4,3,3,5,5,5,4,5,4,4,4,4,4,3.894736842,4
7138,42396,1,3,4,4,3,3,3,4,5,4,4,4,4,3,4,3,3,4,3,3,4,3,4,4,4,3.578947368,3.8
7139,42346,0,4,5,5,5,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,4,4.684210526,4.4
7139,42346,1,4,4,4,5,4,3,4,4,4,5,5,4,4,3,4,5,5,5,5,5,4,5,5,5,4.263157895,4.8
7140,42341,0,4,4,4,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4.105263158,4.4
7140,42341,1,4,4,5,4,4,3,4,5,4,3,3,3,3,4,4,4,5,4,4,5,4,4,5,5,3.894736842,4.6
7141,42424,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,999,999,999,999,999,5, 
7141,42424,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,999,999,999,999,999,5, 
7142, ,1,4,5,4,3,4,4,4,4,5,4,4,3,4,4,5,4,4,5,5,4,4,5,5,4,4.157894737,4.4
7142, ,0,5,4,4,4,4,5,4,4,4,4,5,4,4,4,3,5,4,5,5,4,5,5,5,5,4.263157895,4.8
7142, ,1,4,5,4,4,5,4,3,5,4,4,3,3,4,4,5,4,4,5,5,3,4,4,4,5,4.157894737,4
7143, ,1,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3.368421053,3
7143, ,0,4,4,5,4,3,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.052631579,4
7143, ,1,4,4,4,3,2,3,4,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3.421052632,3
7145,42396,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7145,42396,0,5,5,5,4,4,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4.684210526,4.8
7145,42396,0,4,4,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4.684210526,4.8
7145,42396,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4.6
7146,42345,0,4,3,4,5,5,5,4,2,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,4.210526316,5
7146,42345,1,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.736842105,5
7147,42396,1,5,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4.157894737,4
7147,42396,0,3,3,3,3,3,3,4,3,3,4,3,4,3,3,5,5,5,5,4,999,999,999,999,999,3.631578947, 
7147,42396,0,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,3,4,4,4.210526316,3.8
7147,42396,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3.947368421,4
